Nombre de la carrera,Dirección,Área del conocimiento,Datos Estadísticos (DGAE-UNAM),Aciertos Mínimos por Examen de Selección,Promedio de corte pase reglamentado,Cupo,Características del aspirante,Descripción de la carrera,Palabras asociadas
Derecho,Facultad de Derecho (Cd. Mx.) / FES Acatlán (Edo. Méx.) / FES Aragón (Edo. Méx.),Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 25,353. La asignación total de lugares para esta carrera fue de 3,243, por lo que de cada 8 estudiantes que demandaron la carrera, ingresó 1. El 56% del alumnado de primer ingreso son mujeres y 44% hombres.",Facultad de Derecho: 87 | FES Acatlán: 74 | FES Aragón: 74,Facultad de Derecho: 7.96 | FES Acatlán: 7.69 | FES Aragón: 7.64,"Asignación total de 3,243 lugares","Haber cursado el Área de las Ciencias Sociales o Humanidades. Habilidad para la expresión oral y escrita. Capacidad de análisis, argumentación y debate. Interés por la justicia, el orden social y las leyes. Ética y vocación de servicio.","El abogado es el profesional que conoce, interpreta y aplica el derecho para la defensa de los intereses de las personas, la resolución de conflictos y el mantenimiento del orden jurídico en la sociedad.","derecho, leyes, abogacía, justicia, jurisprudencia, litigio, derecho penal, derecho civil, derecho constitucional"
Desarrollo Comunitario para el Envejecimiento,"Facultad de Estudios Superiores Zaragoza, Ciudad de México",Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 277. La asignación total de lugares para esta carrera fue de 58, por lo que de cada 5 estudiantes que demandaron la carrera, ingresó 1. El 78% del alumnado de primer ingreso son mujeres y 22% hombres.",FES Zaragoza: 61,FES Zaragoza: 7.30,Asignación total de 58 lugares,"Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud o Ciencias Sociales. Interés por el adulto mayor, el envejecimiento y el desarrollo comunitario. Vocación de servicio, empatía y sensibilidad social.","Esta licenciatura forma profesionales capaces de diseñar, implementar y evaluar programas y políticas de desarrollo comunitario orientados a mejorar la calidad de vida de las personas adultas mayores.","gerontología, envejecimiento, adulto mayor, desarrollo comunitario, calidad de vida, políticas públicas, trabajo social"
Desarrollo Territorial,"Facultad de Estudios Superiores Acatlán, Estado de México",Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 358. La asignación total de lugares para esta carrera fue de 68, por lo que de cada 5 estudiantes que demandaron la carrera, ingresó 1. El 51% del alumnado de primer ingreso son mujeres y 49% hombres.",FES Acatlán: 62,FES Acatlán: 7.44,Asignación total de 68 lugares,"Haber cursado el Área de las Ciencias Sociales. Interés por la planeación urbana y regional, el desarrollo sustentable y las políticas públicas. Capacidad de análisis espacial y manejo de información geográfica.","El licenciado en Desarrollo Territorial analiza, planea y gestiona el territorio desde una perspectiva multidisciplinaria para promover un desarrollo regional equilibrado, sustentable y socialmente incluyente.","desarrollo territorial, planeación regional, urbanismo, geografía económica, desarrollo sustentable, políticas territoriales, ordenamiento territorial"
Desarrollo y Gestión Interculturales,"Facultad de Filosofía y Letras, Ciudad de México",Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 276. La asignación total de lugares para esta carrera fue de 85, por lo que de cada 3 estudiantes que demandaron la carrera, ingresó 1. El 62% del alumnado de primer ingreso son mujeres y 38% hombres.",Facultad de Filosofía y Letras: 69,Facultad de Filosofía y Letras: 7.75,Asignación total de 85 lugares,"Haber cursado el Área de las Humanidades y Artes o Ciencias Sociales. Interés por la diversidad cultural, el diálogo intercultural y la gestión cultural. Sensibilidad social y capacidad de mediación.","El licenciado en Desarrollo y Gestión Interculturales es un profesional que promueve el diálogo y la cooperación entre culturas, diseñando y gestionando proyectos que fomenten el respeto a la diversidad cultural.","interculturalidad, gestión cultural, diversidad cultural, diálogo intercultural, mediación, desarrollo cultural, patrimonio cultural"
Diseño Gráfico,Facultad de Artes y Diseño (Cd. Mx.) / FES Acatlán (Edo. Méx.),Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 3,848. La asignación total de lugares para esta carrera fue de 366, por lo que de cada 11 estudiantes que demandaron la carrera, ingresó 1. El 60% del alumnado de primer ingreso son mujeres y 40% hombres.",FAD: 81 | FES Acatlán: 74,FAD: 7.90 | FES Acatlán: 7.88,Asignación total de 366 lugares,"Haber cursado el Área de las Humanidades y Artes o Físico-Matemáticas. Creatividad, habilidad para el dibujo y manejo de formas y colores. Conocimientos de computación. Capacidad de comunicación visual.","El diseñador gráfico es el profesional que comunica visualmente ideas, mensajes e información a través de la creación de imágenes y la composición tipográfica, utilizando diversos medios impresos y digitales.","diseño gráfico, comunicación visual, ilustración, tipografía, diseño editorial, identidad corporativa, diseño digital"
Diseño Industrial,Facultad de Arquitectura (Cd. Mx.) / FES Aragón (Edo. Méx.),Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 2,772. La asignación total de lugares para esta carrera fue de 368, por lo que de cada 8 estudiantes que demandaron la carrera, ingresó 1. El 48% del alumnado de primer ingreso son mujeres y 52% hombres.",Facultad de Arquitectura: 86 | FES Aragón: 73,Facultad de Arquitectura: 7.97 | FES Aragón: 7.85,Asignación total de 368 lugares,"Haber cursado el Área de las Ciencias Físico-Matemáticas. Creatividad, habilidad para el dibujo y la representación tridimensional. Interés por la tecnología, los materiales y los procesos de fabricación.","El diseñador industrial crea, proyecta y desarrolla objetos y productos que satisfacen necesidades humanas, considerando aspectos estéticos, funcionales, ergonómicos, productivos y comerciales.","diseño industrial, diseño de productos, ergonomía, materiales, procesos de fabricación, innovación, mobiliario"
Diseño y Comunicación Visual,"Facultad de Estudios Superiores Cuautitlán, Estado de México",Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 1,647. La asignación total de lugares para esta carrera fue de 192, por lo que de cada 9 estudiantes que demandaron la carrera, ingresó 1. El 57% del alumnado de primer ingreso son mujeres y 43% hombres.",FES Cuautitlán: 60,FES Cuautitlán: 7.62,Asignación total de 192 lugares,"Haber cursado el Área de las Humanidades y Artes o Físico-Matemáticas. Creatividad, sensibilidad estética y habilidades para el dibujo y la composición visual. Interés por la comunicación y las nuevas tecnologías.","El licenciado en Diseño y Comunicación Visual es un profesional que utiliza el lenguaje visual para resolver problemas de comunicación, creando mensajes efectivos para audiencias específicas a través de medios impresos y digitales.","diseño, comunicación visual, diseño gráfico, ilustración digital, multimedia, animación, fotografía"
Ecología,"ENES Unidad Morelia, Michoacán","Ciencias Biológicas, Químicas y de la Salud","La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 385. La asignación total de lugares para esta carrera fue de 69, por lo que de cada 6 estudiantes que demandaron la carrera, ingresó 1. El 57% del alumnado de primer ingreso son mujeres y 43% hombres.",ENES Unidad Morelia: 60,ENES Unidad Morelia: 7.58,Asignación total de 69 lugares,"Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud. Interés por la naturaleza, los ecosistemas y la biodiversidad. Gusto por el trabajo de campo y la investigación científica.","El ecólogo estudia las relaciones entre los seres vivos y su ambiente, analizando la estructura y función de los ecosistemas para contribuir a su conservación y manejo sustentable.","ecología, ecosistemas, biodiversidad, conservación, medio ambiente, recursos naturales, manejo de ecosistemas"
Economía,"Facultad de Economía, Ciudad de México",Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 3,146. La asignación total de lugares para esta carrera fue de 712, por lo que de cada 4 estudiantes que demandaron la carrera, ingresó 1. El 47% del alumnado de primer ingreso son mujeres y 53% hombres.",Facultad de Economía: 72,Facultad de Economía: 7.56,Asignación total de 712 lugares,"Haber cursado el Área de las Ciencias Sociales. Conocimientos de matemáticas y estadística. Interés por los fenómenos económicos, las finanzas y el desarrollo nacional e internacional. Capacidad analítica.","El economista analiza la producción, distribución y consumo de bienes y servicios. Estudia el comportamiento de los agentes económicos y propone políticas para el desarrollo y la estabilidad económica.","economía, macroeconomía, microeconomía, finanzas, desarrollo económico, comercio internacional, políticas económicas"
Economía Industrial,"ENES Unidad León, Guanajuato",Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 84. La asignación total de lugares para esta carrera fue de 43, por lo que de cada 2 estudiantes que demandaron la carrera, ingresó 1. El 42% del alumnado de primer ingreso son mujeres y 58% hombres.",ENES Unidad León: 45,ENES Unidad León: 7.40,Información no disponible en la página de oferta,"Haber cursado el Área de las Ciencias Sociales o Físico-Matemáticas. Interés por la industria, la producción, las cadenas de valor y el desarrollo económico regional.","El licenciado en Economía Industrial analiza la estructura y dinámica de los sectores industriales, evaluando su competitividad y proponiendo estrategias para el desarrollo productivo y la innovación.","economía industrial, desarrollo económico, sectores productivos, industria, competitividad, cadenas de valor, innovación"
Enfermería,"Facultad de Estudios Superiores Iztacala, Estado de México","Ciencias Biológicas, Químicas y de la Salud","La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 2,148. La asignación total de lugares para esta carrera fue de 386, por lo que de cada 6 estudiantes que demandaron la carrera, ingresó 1. El 77% del alumnado de primer ingreso son mujeres y 23% hombres.",FES Iztacala: 70,FES Iztacala: 7.61,Asignación total de 386 lugares,"Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud. Vocación de servicio, empatía y sensibilidad humana. Capacidad de trabajo en equipo y manejo del estrés.","El licenciado en Enfermería es el profesional que proporciona cuidados integrales de salud a la persona, familia y comunidad, aplicando el proceso de enfermería en la prevención, tratamiento y rehabilitación de enfermedades.","enfermería, cuidados de salud, atención sanitaria, salud comunitaria, enfermería clínica, salud pública, cuidado del paciente"
Enfermería y Obstetricia,"Facultad de Estudios Superiores Zaragoza, Ciudad de México","Ciencias Biológicas, Químicas y de la Salud","La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 1,356. La asignación total de lugares para esta carrera fue de 238, por lo que de cada 6 estudiantes que demandaron la carrera, ingresó 1. El 82% del alumnado de primer ingreso son mujeres y 18% hombres.",FES Zaragoza: 70,FES Zaragoza: 7.62,Asignación total de 238 lugares,"Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud. Vocación de servicio, empatía y sensibilidad hacia la mujer y el recién nacido. Capacidad de trabajo en equipo y bajo presión.","El licenciado en Enfermería y Obstetricia brinda cuidados de enfermería especializados durante el embarazo, parto y puerperio, así como atención al recién nacido y salud reproductiva de la mujer.","enfermería, obstetricia, salud materno-infantil, parto, puerperio, neonatología, salud reproductiva, ginecología"
Enseñanza de (Alemán) (Español) (Francés) (Inglés) (Italiano) Como Lengua Extranjera,"Facultad de Estudios Superiores Acatlán, Estado de México",Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 604. La asignación total de lugares para esta carrera fue de 171, por lo que de cada 4 estudiantes que demandaron la carrera, ingresó 1. El 70% del alumnado de primer ingreso son mujeres y 30% hombres.",FES Acatlán: 54,FES Acatlán: 7.49,Asignación total de 171 lugares,Haber cursado el Área de las Humanidades y Artes. Conocimiento previo del idioma que se desea enseñar. Habilidad para la comunicación y gusto por la docencia. Interés por la cultura y la lingüística.,"El licenciado en Enseñanza de Lenguas Extranjeras está formado para planear, conducir y evaluar procesos de enseñanza-aprendizaje de un idioma extranjero, con base en teorías lingüísticas, pedagógicas y didácticas.","enseñanza de lenguas, lingüística aplicada, docencia, idiomas, alemán, español, francés, inglés, italiano"
Enseñanza de Inglés,"Facultad de Estudios Superiores Acatlán, Estado de México",Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 1,282. La asignación total de lugares para esta carrera fue de 204, por lo que de cada 6 estudiantes que demandaron la carrera, ingresó 1. El 66% del alumnado de primer ingreso son mujeres y 34% hombres.",FES Acatlán: 58,FES Acatlán: 7.55,Asignación total de 204 lugares,Haber cursado el Área de las Humanidades y Artes. Conocimiento previo del idioma inglés. Habilidad para la comunicación y gusto por la docencia. Interés por la cultura anglosajona y la lingüística.,"El licenciado en Enseñanza de Inglés está capacitado para diseñar, implementar y evaluar programas de enseñanza del inglés como lengua extranjera en diversos contextos educativos.","enseñanza de inglés, docencia, inglés como lengua extranjera, lingüística aplicada, pedagogía, didáctica del inglés"
Estudios Latinoamericanos,"Facultad de Filosofía y Letras, Ciudad de México",Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 209. La asignación total de lugares para esta carrera fue de 108, por lo que de cada 2 estudiantes que demandaron la carrera, ingresó 1. El 58% del alumnado de primer ingreso son mujeres y 42% hombres.",Facultad de Filosofía y Letras: 65,Facultad de Filosofía y Letras: 7.73,Asignación total de 108 lugares,"Haber cursado el Área de las Humanidades y Artes o Ciencias Sociales. Interés por la historia, cultura, sociedad y política de América Latina. Capacidad de análisis crítico e investigación.","El latinoamericanista es un profesional con una visión integral de la región, que analiza sus procesos históricos, culturales, sociales y políticos para comprender su realidad y contribuir a su desarrollo.","estudios latinoamericanos, América Latina, historia, cultura, sociedad, política, integración regional, pensamiento latinoamericano"
Estudios Sociales y Gestión Local,"ENES Unidad Morelia, Michoacán",Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 94. La asignación total de lugares para esta carrera fue de 56, por lo que de cada 2 estudiantes que demandaron la carrera, ingresó 1. El 61% del alumnado de primer ingreso son mujeres y 39% hombres.",ENES Unidad Morelia: 55,ENES Unidad Morelia: 7.56,Información no disponible en la página de oferta,Haber cursado el Área de las Ciencias Sociales. Interés por los problemas sociales locales y la gestión comunitaria. Vocación de servicio y capacidad de trabajo con comunidades.,El licenciado en Estudios Sociales y Gestión Local analiza la realidad social de comunidades y territorios específicos para diseñar e implementar proyectos de desarrollo local con participación ciudadana.,"estudios sociales, gestión local, desarrollo comunitario, participación ciudadana, políticas locales, trabajo comunitario, desarrollo regional"
Etnomusicología,"Facultad de Música, Ciudad de México",Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 103. La asignación total de lugares para esta carrera fue de 42, por lo que de cada 2 estudiantes que demandaron la carrera, ingresó 1. El 33% del alumnado de primer ingreso son mujeres y 67% hombres.",Facultad de Música: 65,Facultad de Música: 8.00,Asignación total de 42 lugares,"Haber cursado el Área de las Humanidades y Artes. Conocimientos musicales básicos. Interés por la antropología, la cultura y las tradiciones musicales de los pueblos. Capacidad de investigación de campo.","El etnomusicólogo estudia la música en su contexto cultural, analizando las expresiones musicales de diferentes grupos humanos para comprender su significado social, histórico y antropológico.","etnomusicología, música, antropología, cultura, tradiciones musicales, folklore, investigación musical, diversidad cultural"
Farmacia,"Facultad de Química, Ciudad de México","Ciencias Biológicas, Químicas y de la Salud","La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 1,218. La asignación total de lugares para esta carrera fue de 156, por lo que de cada 8 estudiantes que demandaron la carrera, ingresó 1. El 64% del alumnado de primer ingreso son mujeres y 36% hombres.",Facultad de Química: 95,Facultad de Química: 8.68,Asignación total de 156 lugares,"Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud. Sólidos conocimientos en química, biología y matemáticas. Interés por los medicamentos, su desarrollo, producción y uso racional.","El Farmacéutico es el profesional que investiga, desarrolla, produce, controla y dispensa medicamentos, asegurando su calidad, seguridad y eficacia para la prevención y tratamiento de enfermedades.","farmacia, medicamentos, fármacos, química farmacéutica, farmacología, biofarmacia, farmacia clínica, industria farmacéutica"
Filosofía,"Facultad de Filosofía y Letras, Ciudad de México",Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 676. La asignación total de lugares para esta carrera fue de 184, por lo que de cada 4 estudiantes que demandaron la carrera, ingresó 1. El 42% del alumnado de primer ingreso son mujeres y 58% hombres.",Facultad de Filosofía y Letras: 72,Facultad de Filosofía y Letras: 7.80,Asignación total de 184 lugares,"Haber cursado el Área de las Humanidades y Artes. Gusto por la lectura, el pensamiento abstracto y la reflexión crítica. Capacidad de análisis, argumentación y cuestionamiento.","El filósofo estudia los problemas fundamentales de la existencia, el conocimiento, la verdad, la moral y la sociedad, desarrollando un pensamiento crítico y reflexivo aplicable a diversos campos del saber.","filosofía, pensamiento crítico, ética, lógica, epistemología, ontología, estética, historia de la filosofía"
Física,"Facultad de Ciencias, Ciudad de México",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 1,003. La asignación total de lugares para esta carrera fue de 228, por lo que de cada 4 estudiantes que demandaron la carrera, ingresó 1. El 33% del alumnado de primer ingreso son mujeres y 67% hombres.",Facultad de Ciencias: 97,Facultad de Ciencias: 8.70,Asignación total de 228 lugares,"Haber cursado el Área de las Ciencias Físico-Matemáticas. Sólidos conocimientos en matemáticas y física. Gusto por la ciencia, la investigación y la comprensión de los fenómenos naturales. Capacidad de abstracción.","El físico estudia las leyes fundamentales que rigen el universo, desde las partículas subatómicas hasta los fenómenos cósmicos, mediante la observación, experimentación y formulación de teorías.","física, ciencias físicas, mecánica, electromagnetismo, termodinámica, óptica, física cuántica, relatividad"
Física Biomédica,"Facultad de Ciencias, Ciudad de México",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 737. La asignación total de lugares para esta carrera fue de 84, por lo que de cada 9 estudiantes que demandaron la carrera, ingresó 1. El 58% del alumnado de primer ingreso son mujeres y 42% hombres.",Facultad de Ciencias: 96,Facultad de Ciencias: 8.79,Asignación total de 84 lugares,Haber cursado el Área de las Ciencias Físico-Matemáticas o Biológicas y de la Salud. Interés por la física aplicada a la medicina y la biología. Gusto por la tecnología médica y la investigación interdisciplinaria.,"El físico biomédico aplica los principios y métodos de la física para resolver problemas médicos y biológicos, desarrollando tecnología para el diagnóstico, tratamiento e investigación en salud.","física médica, física biomédica, instrumentación médica, imagenología, radioterapia, biofísica, tecnología médica"
Fisioterapia,"Facultad de Medicina, Ciudad de México","Ciencias Biológicas, Químicas y de la Salud","La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 3,215. La asignación total de lugares para esta carrera fue de 201, por lo que de cada 16 estudiantes que demandaron la carrera, ingresó 1. El 61% del alumnado de primer ingreso son mujeres y 39% hombres.",Facultad de Medicina: 101,Facultad de Medicina: 9.13,Asignación total de 201 lugares,"Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud. Interés por la rehabilitación física y el movimiento humano. Vocación de servicio, empatía y capacidad de comunicación.","El fisioterapeuta es el profesional que previene, evalúa y trata las alteraciones del movimiento humano mediante agentes físicos y ejercicios terapéuticos para restaurar la función y mejorar la calidad de vida.","fisioterapia, rehabilitación, terapia física, movimiento humano, ejercicio terapéutico, kinesiología, lesiones deportivas"
Geociencias,"ENES Unidad Juriquilla, Querétaro",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 129. La asignación total de lugares para esta carrera fue de 50, por lo que de cada 3 estudiantes que demandaron la carrera, ingresó 1. El 50% del alumnado de primer ingreso son mujeres y 50% hombres.",ENES Unidad Juriquilla: 65,ENES Unidad Juriquilla: 7.50,Información no disponible en la página de oferta,"Haber cursado el Área de las Ciencias Físico-Matemáticas o Químico-Biológicas. Interés por el estudio de la Tierra, sus procesos geológicos y recursos naturales. Gusto por el trabajo de campo.","El geocientífico estudia la composición, estructura y evolución de la Tierra, así como los procesos que la modelan, para la exploración de recursos, prevención de riesgos y gestión ambiental.","geociencias, geología, ciencias de la tierra, recursos minerales, riesgos geológicos, exploración geofísica, medio ambiente"
Geografía,"Facultad de Filosofía y Letras, Ciudad de México",Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 573. La asignación total de lugares para esta carrera fue de 180, por lo que de cada 3 estudiantes que demandaron la carrera, ingresó 1. El 48% del alumnado de primer ingreso son mujeres y 52% hombres.",Facultad de Filosofía y Letras: 66,Facultad de Filosofía y Letras: 7.55,Asignación total de 180 lugares,"Haber cursado el Área de las Ciencias Sociales o Físico-Matemáticas. Interés por el territorio, el espacio geográfico y la relación sociedad-naturaleza. Gusto por la cartografía y el trabajo de campo.","El geógrafo analiza la organización del espacio geográfico, estudiando la interacción entre los elementos naturales y sociales para comprender los problemas territoriales y proponer soluciones de ordenamiento.","geografía, espacio geográfico, territorio, cartografía, geografía física, geografía humana, ordenamiento territorial"
Geografía Aplicada,"ENES Unidad Morelia, Michoacán",Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 142. La asignación total de lugares para esta carrera fue de 59, por lo que de cada 2 estudiantes que demandaron la carrera, ingresó 1. El 36% del alumnado de primer ingreso son mujeres y 64% hombres.",ENES Unidad Morelia: 50,ENES Unidad Morelia: 7.30,Información no disponible en la página de oferta,Haber cursado el Área de las Ciencias Sociales o Físico-Matemáticas. Interés por la aplicación del conocimiento geográfico en la solución de problemas territoriales y ambientales. Manejo de tecnologías geoespaciales.,"El licenciado en Geografía Aplicada utiliza herramientas y métodos geográficos para analizar y resolver problemas concretos del territorio, como la planeación urbana, gestión de riesgos y manejo de recursos.","geografía aplicada, SIG, percepción remota, planeación territorial, gestión ambiental, análisis espacial, cartografía digital"
Geohistoria,"ENES Unidad Morelia, Michoacán",Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 156. La asignación total de lugares para esta carrera fue de 59, por lo que de cada 3 estudiantes que demandaron la carrera, ingresó 1. El 42% del alumnado de primer ingreso son mujeres y 58% hombres.",ENES Unidad Morelia: 51,ENES Unidad Morelia: 7.40,Información no disponible en la página de oferta,"Haber cursado el Área de las Ciencias Sociales o Humanidades. Interés por la historia, la geografía y la relación entre el espacio y los procesos históricos. Gusto por la investigación documental y de campo.","El geohistoriador estudia la relación entre el espacio geográfico y los procesos históricos, analizando cómo el territorio influye en el desarrollo de las sociedades y cómo éstas transforman su entorno.","geohistoria, historia, geografía, territorio, espacio histórico, paisaje cultural, historia regional"
Historia,Facultad de Filosofía y Letras (Cd. Mx.) / FES Acatlán (Edo. Méx.),Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 1,504. La asignación total de lugares para esta carrera fue de 428, por lo que de cada 4 estudiantes que demandaron la carrera, ingresó 1. El 47% del alumnado de primer ingreso son mujeres y 53% hombres.",Facultad de Filosofía y Letras: 70 | FES Acatlán: 59,Facultad de Filosofía y Letras: 7.82 | FES Acatlán: 7.56,Asignación total de 428 lugares,"Haber cursado el Área de las Humanidades y Artes o Ciencias Sociales. Gusto por la lectura, la investigación documental y el análisis del pasado. Capacidad crítica y de interpretación.","El historiador investiga, analiza e interpreta los procesos históricos de las sociedades para comprender el pasado, explicar el presente y contribuir a la construcción del futuro.","historia, historiografía, investigación histórica, historia de México, historia universal, archivos históricos, patrimonio cultural"
Historia del Arte,"Facultad de Filosofía y Letras, Ciudad de México",Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 536. La asignación total de lugares para esta carrera fue de 120, por lo que de cada 4 estudiantes que demandaron la carrera, ingresó 1. El 63% del alumnado de primer ingreso son mujeres y 37% hombres.",Facultad de Filosofía y Letras: 70,Facultad de Filosofía y Letras: 7.79,Asignación total de 120 lugares,"Haber cursado el Área de las Humanidades y Artes. Sensibilidad estética e interés por las manifestaciones artísticas a lo largo de la historia. Capacidad de observación, análisis e interpretación.","El historiador del arte estudia las obras de arte en su contexto histórico, social y cultural, analizando su significado, evolución y valor patrimonial para su conservación y difusión.","historia del arte, arte, estética, patrimonio artístico, crítica de arte, curaduría, museografía, conservación"
Informática,"Facultad de Contaduría y Administración, Ciudad de México",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 1,796. La asignación total de lugares para esta carrera fue de 409, por lo que de cada 4 estudiantes que demandaron la carrera, ingresó 1. El 31% del alumnado de primer ingreso son mujeres y 69% hombres.",FCA Escolarizada: 77 | FCA a Distancia: 70,FCA Escolarizada: 7.69 | FCA a Distancia: 8.15,Asignación total de 409 lugares,"Haber cursado el Área de las Ciencias Físico-Matemáticas. Interés por la tecnología, la computación y los sistemas de información. Capacidad de análisis lógico y resolución de problemas.","El licenciado en Informática aplica las tecnologías de la información y comunicación para optimizar los procesos administrativos y de negocio en las organizaciones, desarrollando soluciones informáticas innovadoras.","informática, tecnologías de la información, sistemas computacionales, bases de datos, redes, desarrollo de software, informática administrativa"
Ingeniería Aeroespacial,"Facultad de Ingeniería, Ciudad de México",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 1,500. La asignación total de lugares para esta carrera fue de 125, por lo que de cada 12 estudiantes que demandaron la carrera, ingresó 1. El 27% del alumnado de primer ingreso son mujeres y 73% hombres.",Facultad de Ingeniería: 105,Facultad de Ingeniería: 9.16,Asignación total de 125 lugares,"Haber cursado el Área de las Ciencias Físico-Matemáticas. Sólidos conocimientos en matemáticas, física y química. Interés por la aeronáutica, el espacio y la tecnología de vanguardia. Capacidad de análisis y creatividad.","El ingeniero aeroespacial diseña, construye y opera aeronaves y vehículos espaciales, así como los sistemas de propulsión y navegación asociados, contribuyendo al desarrollo de la industria aeroespacial.","ingeniería aeroespacial, aeronáutica, astronáutica, aviones, satélites, propulsión, aerodinámica, espacio"
Ingeniería Agrícola,"Facultad de Estudios Superiores Cuautitlán, Estado de México",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 195. La asignación total de lugares para esta carrera fue de 81, por lo que de cada 2 estudiantes que demandaron la carrera, ingresó 1. El 22% del alumnado de primer ingreso son mujeres y 78% hombres.",FES Cuautitlán: 55,FES Cuautitlán: 7.23,Asignación total de 81 lugares,"Haber cursado el Área de las Ciencias Físico-Matemáticas o Químico-Biológicas. Interés por el campo, la producción agrícola y la tecnología aplicada al agro. Gusto por el trabajo al aire libre.","El ingeniero agrícola aplica los principios de la ingeniería a la producción agropecuaria, diseñando y operando sistemas de riego, maquinaria agrícola, construcciones rurales y procesos de poscosecha.","ingeniería agrícola, agricultura, maquinaria agrícola, riego, agroindustria, poscosecha, desarrollo rural"
Ingeniería Ambiental,"Facultad de Ingeniería, Ciudad de México",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 2,575. La asignación total de lugares para esta carrera fue de 258, por lo que de cada 10 estudiantes que demandaron la carrera, ingresó 1. El 54% del alumnado de primer ingreso son mujeres y 46% hombres.",Facultad de Ingeniería: 91,Facultad de Ingeniería: 8.50,Asignación total de 258 lugares,"Haber cursado el Área de las Ciencias Físico-Matemáticas o Químico-Biológicas. Interés por el medio ambiente, la sustentabilidad y la prevención de la contaminación. Capacidad de análisis y vocación social.","El ingeniero ambiental previene, controla y remedia los problemas de contaminación del agua, aire y suelo, diseñando sistemas y procesos que minimicen el impacto ambiental de las actividades humanas.","ingeniería ambiental, medio ambiente, contaminación, sustentabilidad, tratamiento de aguas, gestión de residuos, calidad del aire"
